created,text,retwc,hashtag,followers,friends
2017-09-07 17:06:51,b'Medicines for the prevention of malaria .. Cloroxin. Doxycycline. Fluoxin. Bruganil\xe2\x80\xa6 https://t.co/tdHulxeXt7',0,None,25,7
2017-09-07 17:06:31,"b'A @DrTedros focus area is ""ending the epidemics of HIV, tuberculosis, malaria, hepatitis and neglected tropical dis\xe2\x80\xa6 https://t.co/G2JCShR3um'",0,None,2076,1009
2017-09-07 17:06:03,b'Malaria: Italy treating death of girl as manslaughter https://t.co/IQXQy8lL9Z',0,None,874,811
2017-09-07 17:04:56,"b""RT @eNCA: eNCA | #Italy opens manslaughter probe over child's malaria death https://t.co/QdpAsdgTu2 https://t.co/0XtrkM7YBe""",1,Italy,144,573
2017-09-07 17:04:07,b'New method for producing malaria treatment at large scales https://t.co/t8FWeg0qE7 @TechText #TechText',0,TechText,1066,1085
2017-09-07 17:02:21,b'New method for producing malaria treatment at large scales https://t.co/TR1BQci6e3',0,None,490,194
2017-09-07 17:02:20,b'RT @AMike4761: Malaria Death of Four-Year-Old Girl in Italy Reignites Immigration Debate as Syrian Refugees bring disease- #fo2eu  https://\xe2\x80\xa6',189,fo2eu,697,585
2017-09-07 17:01:53,b'Child Dies Of Malaria In Italy And Doctors Are Confused - https://t.co/MmhdtnoC5h',0,None,263,1222
2017-09-07 17:01:50,b'Must read: Remarks of @WHO DG @DrTedros at @WHOSEARO\xe2\x80\x99s #RC70 meeting in Maldives https://t.co/68sZfHbDD0 #MFAP2030 https://t.co/O9L1R8XQwa',0,RC70,1708,1828
2017-09-07 17:01:09,b'We Are Committed to Roll Back Malaria Out of Osun - Gov. Aregbesola https://t.co/WfYEDCSKSj',0,None,69,175
2017-09-07 17:00:52,"b'RT @abbeylad: @chi_chibrown @funkeakindele Na Real malaria. Was it on the remix of ""I wanna rap right now""? \xf0\x9f\x98\x82\xf0\x9f\x98\x82'",1,None,1175,1210
2017-09-07 17:00:40,b'RT @OneHealthCom: #Malaria parasite spreads from howler monkeys to humans; disease eradication concern https://t.co/cZOWtVDMQz #ZoonoticDis\xe2\x80\xa6',9,Malaria,21,58
2017-09-07 17:00:23,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,1916,874
2017-09-07 17:00:21,"b""RT @HarvardMalaria: It's #BackToSchool season! Enroll in #MalariaX to learn from top malaria &amp; global health experts \xe2\x80\x94 for free https://t.c\xe2\x80\xa6""",6,BackToSchool,227,1055
2017-09-07 17:00:06,"b'Thousands Hit By Malaria, Dengue As South Asia&amp;#039;s Worst Floods In A Decade Recede  #healthandwellness https://t.co/evjwXpLKAo'",0,healthandwellness,4424,3349
2017-09-07 16:59:25,b'#Phys.org #news\nhttps://t.co/VxBjITj56U New method for producing malaria treatment at large scales',0,Phys,52,20
2017-09-07 16:58:45,b'RT @scienmag: New method for producing malaria treatment at large scales https://t.co/YrTLzwSYuA',3,None,1769,1799
2017-09-07 16:58:16,b'RT @newssourcegy: Health officials in Guyana have reported that they have treated some 368 Venezuelans who crossed the border in... https:/\xe2\x80\xa6',1,None,193,369
2017-09-07 16:58:04,b'RT @AJack: BBC News - Rare malaria death of girl in northern Italy puzzles doctors https://t.co/EMwI2neFxy',7,None,577,388
2017-09-07 16:57:56,"b'NEWS Source: Venezuelans who cross border seeking medical help for malaria, getting assistance from Guyanese... https://t.co/GkP36LHmfB'",0,None,12301,1211
2017-09-07 16:57:02,b'RT @pepnaija: Amazing!\n\nScientists in South Africa Discover a Compound That Could End Malaria: https://t.co/NQRYIpZCNj #Malaria #MG\nBye to\xe2\x80\xa6',69,Malaria,1971,813
2017-09-07 16:56:43,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,254,314
2017-09-07 16:56:02,b'Health officials in Guyana have reported that they have treated some 368 Venezuelans who crossed the border in... https://t.co/t9V4yASeR9',1,None,1823,54
2017-09-07 16:55:54,"b'Irrational talk is not ""confession of a witch"" \n\nThese illnesses have explainable (and treatable) causes just like Mosquitoes cause malaria.'",0,None,343,262
2017-09-07 16:55:35,b'World Health Organization: Some 1.3 million people have fallen ill with #Malaria in South Sudan this year\xe2\x80\xa6 https://t.co/jLvQy72e6S',0,Malaria,1186,1403
