created,text,retwc,hashtag,followers,friends
2017-07-16 18:05:38,b'@cemian @Civ_Silas @MiltonWolfMD Warfarin and Coumadin. Whichever would help my blood levels best. Mine were low risk.',0,None,1379,1604
2017-07-16 17:54:22,b'Vitamin K is often used for serious elevations in INR and/or bleeding risk in patients on warfarin #nursingschool',0,nursingschool,552,52
2017-07-16 17:16:28,"b'RT @nclexpharm: Aspirin and clopidogrel work by inhibiting platelets, while warfarin inhibits clotting factors #nursing'",1,nursing,35,206
2017-07-16 17:04:24,"b'Aspirin and clopidogrel work by inhibiting platelets, while warfarin inhibits clotting factors #nursing'",1,nursing,5130,468
2017-07-16 16:20:30,"b'@MKlinginsmith3 @ALT_DOJ Let people know that even under your current circumstances, you can only afford  Warfarin\xe2\x80\xa6 https://t.co/K4VAtuhvug'",0,None,204,558
2017-07-16 16:14:23,b'#Anticoagulation Control in #Warfarin Treated Patients Undergoing #Cardioversion #Afib (ENSURE-AF Trial) https://t.co/TpDknurvWQ',0,Anticoagulation,65,122
2017-07-16 15:41:46,"b'Cimetidine is contraindicated with theophylline, phenytoin, warfarin, carbamazepine'",0,None,7,31
2017-07-16 15:06:02,b'RT @nclexpharm: Vitamin K is often used for serious elevations in INR and/or bleeding risk in patients on warfarin #nursingschool',2,nursingschool,174,227
2017-07-16 15:05:27,b'Vitamin K is often used for serious elevations in INR and/or bleeding risk in patients on warfarin #nursingschool',2,nursingschool,5130,468
2017-07-16 14:43:07,"b'My grandma, exactly 29yrs ago. Sadly died of big stroke 3yrs later.\nGP said ""ridiculous idea, a 77yr old on warfari\xe2\x80\xa6 https://t.co/Mi96D0OIrS'",0,None,5352,3353
2017-07-16 13:01:31,"b'""Need consistent #vitaminK if on #warfarin https://t.co/RLOGK2GO0z #Neurology #Cardiology #Stroke #INR #AFib\xe2\x80\xa6 https://t.co/NNBUuNaJ9t""'",0,vitaminK,1142,2847
2017-07-16 12:59:33,b'Need consistent #vitaminK if on #warfarin https://t.co/RLOGK2GO0z #Neurology #Cardiology #Stroke #INR #AFib\xe2\x80\xa6 https://t.co/NNBUuNaJ9t',0,vitaminK,1142,2847
2017-07-16 12:52:35,"b""RT @MKlinginsmith3: @ALT_DOJ Meanwhile, I've had multiple blood clots &amp; am waiting to see if he will vote to slash medicaid, which is how I\xe2\x80\xa6""",1,None,1143,1354
